i,j,X-Field,Y-Field,R-Field,PredictedX,PredictedY,RealX,RealY,Distortion
-18,-6,-2.34670000E+01,-4.65340000E+00,2.38307000E+01,-5.55424000E+00,-1.04138000E+00,-5.06636000E+00,-9.49908000E-01,-8.78%
-18,-5,-2.34670000E+01,-3.88044000E+00,2.37205000E+01,-5.55424000E+00,-8.67820000E-01,-5.07005000E+00,-7.92167000E-01,-8.72%
-18,-4,-2.34670000E+01,-3.10606000E+00,2.36297000E+01,-5.55424000E+00,-6.94256000E-01,-5.07307000E+00,-6.34112000E-01,-8.66%
-18,-3,-2.34670000E+01,-2.33054000E+00,2.35587000E+01,-5.55424000E+00,-5.20692000E-01,-5.07544000E+00,-4.75805000E-01,-8.62%
-18,-2,-2.34670000E+01,-1.55417000E+00,2.35078000E+01,-5.55424000E+00,-3.47128000E-01,-5.07712000E+00,-3.17309000E-01,-8.59%
-18,-1,-2.34670000E+01,-7.77228000E-01,2.34772000E+01,-5.55424000E+00,-1.73564000E-01,-5.07814000E+00,-1.58686000E-01,-8.57%
-18,0,-2.34670000E+01,0.00000000E+00,2.34670000E+01,-5.55424000E+00,0.00000000E+00,-5.07848000E+00,0.00000000E+00,-8.57%
-18,1,-2.34670000E+01,7.77228000E-01,2.34772000E+01,-5.55424000E+00,1.73564000E-01,-5.07814000E+00,1.58686000E-01,-8.57%
-18,2,-2.34670000E+01,1.55417000E+00,2.35078000E+01,-5.55424000E+00,3.47128000E-01,-5.07712000E+00,3.17309000E-01,-8.59%
-18,3,-2.34670000E+01,2.33054000E+00,2.35587000E+01,-5.55424000E+00,5.20692000E-01,-5.07544000E+00,4.75805000E-01,-8.62%
-18,4,-2.34670000E+01,3.10606000E+00,2.36297000E+01,-5.55424000E+00,6.94256000E-01,-5.07307000E+00,6.34112000E-01,-8.66%
-18,5,-2.34670000E+01,3.88044000E+00,2.37205000E+01,-5.55424000E+00,8.67820000E-01,-5.07005000E+00,7.92167000E-01,-8.72%
-18,6,-2.34670000E+01,4.65340000E+00,2.38307000E+01,-5.55424000E+00,1.04138000E+00,-5.06636000E+00,9.49908000E-01,-8.78%
-18,7,-2.34670000E+01,5.42466000E+00,2.39600000E+01,-5.55424000E+00,1.21495000E+00,-5.06201000E+00,1.10728000E+00,-8.86%
-18,8,-2.34670000E+01,6.19396000E+00,2.41080000E+01,-5.55424000E+00,1.38851000E+00,-5.05702000E+00,1.26421000E+00,-8.95%
-18,9,-2.34670000E+01,6.96103000E+00,2.42740000E+01,-5.55424000E+00,1.56208000E+00,-5.05138000E+00,1.42065000E+00,-9.05%
-18,10,-2.34670000E+01,7.72560000E+00,2.44575000E+01,-5.55424000E+00,1.73564000E+00,-5.04512000E+00,1.57654000E+00,-9.17%
-18,11,-2.34670000E+01,8.48740000E+00,2.46579000E+01,-5.55424000E+00,1.90920000E+00,-5.03823000E+00,1.73183000E+00,-9.29%
-18,12,-2.34670000E+01,9.24620000E+00,2.48747000E+01,-5.55424000E+00,2.08277000E+00,-5.03073000E+00,1.88646000E+00,-9.43%
-18,13,-2.34670000E+01,1.00017000E+01,2.51070000E+01,-5.55424000E+00,2.25633000E+00,-5.02263000E+00,2.04037000E+00,-9.57%
-18,14,-2.34670000E+01,1.07538000E+01,2.53542000E+01,-5.55424000E+00,2.42989000E+00,-5.01395000E+00,2.19352000E+00,-9.73%
-18,15,-2.34670000E+01,1.15021000E+01,2.56155000E+01,-5.55424000E+00,2.60346000E+00,-5.00469000E+00,2.34586000E+00,-9.89%
-18,16,-2.34670000E+01,1.22464000E+01,2.58904000E+01,-5.55424000E+00,2.77702000E+00,-4.99486000E+00,2.49734000E+00,-10.07%
-18,17,-2.34670000E+01,1.29866000E+01,2.61780000E+01,-5.55424000E+00,2.95059000E+00,-4.98449000E+00,2.64792000E+00,-10.26%
-18,18,-2.34670000E+01,1.37224000E+01,2.64775000E+01,-5.55424000E+00,3.12415000E+00,-4.97358000E+00,2.79754000E+00,-10.45%
-18,19,-2.34670000E+01,1.44536000E+01,2.67883000E+01,-5.55424000E+00,3.29771000E+00,-4.96216000E+00,2.94618000E+00,-10.66%
-18,20,-2.34670000E+01,1.51801000E+01,2.71097000E+01,-5.55424000E+00,3.47128000E+00,-4.95023000E+00,3.09378000E+00,-10.87%
-18,21,-2.34670000E+01,1.59015000E+01,2.74409000E+01,-5.55424000E+00,3.64484000E+00,-4.93781000E+00,3.24032000E+00,-11.10%
-17,-21,-2.22941000E+01,-1.59015000E+01,2.65315000E+01,-5.24567000E+00,-3.64484000E+00,-4.69541000E+00,-3.26250000E+00,-10.49%
